Country,"CPI, Harmonised (ZCPIH)","Exports, at current prices (UXGS)","GDP per head, at current prices (HVGDP)","GDP, at current prices (UVGD)","Imports, at current prices (UMGS)","Interest rates, Long term nominal (ILN)",Population 15 to 64 years (NPAN),"Terms of Trade, Goods and services (APGS)",Total population (demographic statistics) (NPTN),"Unemployment, Percentage of active population (ZUTN)"
Austria,121.1,277.6,47.7,431.7333333,279.6,1.7,5975.3,94.2,9041.9,4.8
Belgium,123.3,536.9,46.5,543.6,545.1,1.7,7454.9,96,11680.2,5.6
Bulgaria,123.5,89,20.46666667,132.4666667,87.6,1.5,4059.2,112,6465.1,4.2
Croatia,117.1,40.2,20.06666667,78.53333333,44.4,2.7,2434,94.6,3856.6,6.8
Cyprus,110.2,30.1,33.26666667,30.36666667,29.1,3,614.6,101.3,912.7,6.8
Denmark,113.8,1138.15,198.3,1171.166667,984,1.5,3752.1,103.8,5903,4.5
Estonia,137,31.6,28.43333333,37.8,32,2.3,853.7,101.4,1348.8,5.6
Finland,113.7,122.7,44.8,248.9666667,127.8,1.7,3444,100.5,5556.4,6.8
France,114,969.3,37.96666667,2585.6,1043.2,1.7,41903.3,96.8,68065,7.3
Germany,118.7,1810.1,45.53333333,3814.4,1711.4,1.1,53481.8,96.5,83798,3.2
Greece,111.2,101.9,21.06666667,223.1,121.9,3.5,6675.3,98.2,10508.4,12.5
Hungary,137.2,29678.65,2311.166667,22198.9,31270.9,7.6,6244.6,93.4,9605.1,3.6
Iceland,113,895.45,3545.8,1312.3,898.15,5.5,254.5,104.4,382,3.8
Ireland,112,712,94.9,493.4,497.2,1.8,3410,97.4,5212.8,4.5
Italy,114.2,701.3,34.3,2025.366667,737.6,3.2,37480.4,91.5,59013.7,8.1
Latvia,131.5,28,20.7,39.1,29.7,2.3,1185.9,105.8,1879.4,6.9
Lithuania,137.6,58.5,26.43333333,74.9,59.9,0.6,1843.2,90.1,2831.6,6
Luxembourg,118.6,163.8,109.0666667,71.46666667,137.4,1.7,452.6,99.5,653.1,4.6
Malta,113.7,23.5,35.7,18.96666667,21,2.4,363.4,102.9,531.1,3.5
Netherlands,122.8,958.5,53.4,945.7,871.2,1.4,11417.8,97.5,17701,3.5
Poland,129.4,1173.1,42.7,1613.3,1141.35,6,25245.8,98.1,37796.5,2.9
Portugal,113,120.7,24.76666667,259.1666667,126.6,2.2,6622.9,98.2,10468.9,6.2
Romania,129.1,362.35,38.06666667,725.1333333,419.95,7.5,12238,103.7,19048.5,5.6
Slovakia,125.1,108.9,21.96666667,119.7,115.5,2.1,3632.8,93.2,5463.8,6.1
Slovenia,116.9,53.5,28.6,60.3,52.5,1.9,1345.1,96.2,2112.1,4
Spain,115.9,546.1,29.4,1406.966667,534,2.2,31638.9,94,47786.1,13
Sweden,119.4,1728.8,217.2666667,2284.2,1667.65,1.5,6506.3,97.3,10512.1,7.5
